"title","price","area","floor","additionalInfo","url"
"Przestronne mieszkanie dwupoziomowe 4-pokojowe z tarasem 88m2 Bemowo","4 999 zł","88 m²","""'1/4""","taras | piwnica | dwupoziomowe | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-dwupoziomowe-4-pokojowe-z-tarasem-88m2-bemowo-ID4yhq7"
"Wynajmę mieszkanie 3-pok. 103,76 Bemowo-Lotnisko","3 700 zł","103.76 m²","""'3/5""","garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-3-pok-103-76-bemowo-lotnisko-ID4x3n1"
"Metro Bemowo - 4 pokoje","4 800 zł","73 m²","""'4/10""","balkon | piwnica | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/metro-bemowo-4-pokoje-ID4nK7f"
"Wynajmę, dupoziomowe w sercu zielonego Żoliborza","4 270 zł","87.5 m²","""'10/11""","balkon | dwupoziomowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/wynajme-dupoziomowe-w-sercu-zielonego-zoliborza-ID4ykW8"
"3 pokoje plus garderoba i 2 łazienki Fort Bema","4 500 zł","87 m²","""'""","balkon | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/3-pokoje-plus-garderoba-i-2-lazienki-fort-bema-ID4yk1O"
"Wynajmę mieszkanie w cichej i zielonej okolicy 78 m2","3 700 zł","78 m²","""'4/6""","balkon | garaż/miejsce parkingowe | pom. użytkowe | tylko dla niepalących | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-w-cichej-i-zielonej-okolicy-78-m2-ID4yk1L"
"3-pokojowe mieszkanie z garażem","4 500 zł","73 m²","""'1/4""","balkon | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-garazem-ID4yjOe"
"Na wynajem czteropokojowe mieszkanie na Bemowie","4 000 zł","78.89 m²","""'parter/4""","","https://www.otodom.pl/pl/oferta/na-wynajem-czteropokojowe-mieszkanie-na-bemowie-ID4yjcg"
"Przestronne 3 pokoje na wynajem przy Lazurowej.","6 000 zł","75 m²","""'3/10""","balkon | tylko dla niepalących | oddzielna kuchnia | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-na-wynajem-przy-lazurowej-ID4yiXw"
"Premium mieszkanie | 70 m² | Wysoki standart","6 500 zł","70 m²","""'2/5""","balkon | taras","https://www.otodom.pl/pl/oferta/premium-mieszkanie-70-m-wysoki-standart-ID4yiKs"
"LUX 3 pokoje, 83 mkw, Park Kellera Residence, ochrona, bezpieczne","6 490 zł","83 m²","""'3/5""","balkon | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/lux-3-pokoje-83-mkw-park-kellera-residence-ochrona-bezpieczne-ID4yhTO"
"Przestronne mieszkanie dwupoziomowe 4-pokojowe z tarasem 88m2 Bemowo","4 999 zł","88 m²","""'1/4""","taras | piwnica | dwupoziomowe | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-dwupoziomowe-4-pokojowe-z-tarasem-88m2-bemowo-ID4yhq7"
"3-pokojowe mieszkanie z garażem i loggią","3 900 zł","73 m²","""'8/8""","garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-garazem-i-loggia-ID4ygKR"
"4 pokojowe mieszkanie z pięknym widokiem na las","7 500 zł","97 m²","""'4/6""","","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-z-pieknym-widokiem-na-las-ID4yg6n"
"Mieszkanie, 87 m², Warszawa","6 080 zł","87 m²","""'3/3""","balkon | pom. użytkowe","https://www.otodom.pl/pl/oferta/mieszkanie-87-m-warszawa-ID4yg4v"
"Mieszkanie, 88 m², Warszawa","6 170 zł","88 m²","""'3/3""","balkon","https://www.otodom.pl/pl/oferta/mieszkanie-88-m-warszawa-ID4yg4w"
"Piękne mieszkanie 4 pokoje, 700m od metra Młociny | We speak English.","6 500 zł","90 m²","""'1""","balkon | garaż/miejsce parkingowe | piwnica | tylko dla niepalących | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/piekne-mieszkanie-4-pokoje-700m-od-metra-mlociny-we-speak-english-ID4yfnS"
"Wolne OD Zaraz 3-Pokojowe Mieszkanie Dla Rodziny!","4 550 zł","73.44 m²","""'1/4""","garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/wolne-od-zaraz-3-pokojowe-mieszkanie-dla-rodziny-ID4yfm7"
"Stylowe 3 pokoje z wyjątkowym tarasem – Bielany","4 900 zł","72 m²","""'6/6""","garaż/miejsce parkingowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/stylowe-3-pokoje-z-wyjatkowym-tarasem-bielany-ID4yf50"
"Premium mieszkanie | 70 m² | Wysoki standart","6 500 zł","70 m²","""'2/5""","balkon | taras | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/premium-mieszkanie-70-m-wysoki-standart-ID4yf0p"
"Przy metrze duże 4-pokojowe mieszkanie z balkonem","5 700 zł","90.9 m²","""'1/13""","balkon | garaż/miejsce parkingowe | oddzielna kuchnia | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/przy-metrze-duze-4-pokojowe-mieszkanie-z-balkonem-ID4ydRk"
"70m2, 11 minut spacerem od stacji metra Bemowo","3 900 zł","70 m²","""'3/5""","balkon | taras | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/70m2-11-minut-spacerem-od-stacji-metra-bemowo-ID4ycoh"
"Nowoczesne 3 pokoje | 2 ogródki | 71 m² | M2 Bemowo | Górczewska 224","6 800 zł","71 m²","""'parter/5""","ogródek | garaż/miejsce parkingowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/nowoczesne-3-pokoje-2-ogrodki-71-m-m2-bemowo-gorczewska-224-ID4ycmL"
"Parter domu z ogrodem.","5 000 zł","90 m²","""'parter/1""","ogródek | taras | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/parter-domu-z-ogrodem-ID4ybVF"
"Mieszkanie 3-pokojowe w pełni umeblowane o pow. 76m2","4 600 zł","76 m²","""'1/5""","garaż/miejsce parkingowe | tylko dla niepalących","https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-w-pelni-umeblowane-o-pow-76m2-ID4ybxx"
"4-pokojowe mieszkanie z balkonem na cichym osiedlu","4 000 zł","73 m²","""'3/3""","balkon | piwnica | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-z-balkonem-na-cichym-osiedlu-ID4ybnv"
"4 pokoje, Metro,chętnie studenci","3 400 zł","70 m²","""'""","balkon","https://www.otodom.pl/pl/oferta/4-pokoje-metro-chetnie-studenci-ID4yaVr"
"piękne mieszkanie po remoncie, z ogródkiem, 4 pok, przy parku, garaż","6 000 zł","87.5 m²","""'parter/6""","ogródek | garaż/miejsce parkingowe | tylko dla niepalących","https://www.otodom.pl/pl/oferta/piekne-mieszkanie-po-remoncie-z-ogrodkiem-4-pok-przy-parku-garaz-ID4yaor"
"Bemowo: Nowoczesne i przestronne mieszkanie 5 min pieszo od metra","5 800 zł","86 m²","""'7/8""","balkon | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/bemowo-nowoczesne-i-przestronne-mieszkanie-5-min-pieszo-od-metra-ID4y9x1"
"Idealne dla rodziny! 3-pokojowe 73m2, Bemowo, blisko szkoły i parku","5 500 zł","73 m²","""'4/5""","balkon | garaż/miejsce parkingowe | tylko dla niepalących","https://www.otodom.pl/pl/oferta/idealne-dla-rodziny-3-pokojowe-73m2-bemowo-blisko-szkoly-i-parku-ID4y9qw"
"Dwupoziomowe apartamenty Premium na Lazurowej","6 080 zł","86.74 m²","""'4/4""","balkon | taras | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/dwupoziomowe-apartamenty-premium-na-lazurowej-ID4y67i"
"Dwupoziomowe apartamenty Premium na Lazurowej","6 170 zł","87.52 m²","""'4/4""","balkon | taras | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/dwupoziomowe-apartamenty-premium-na-lazurowej-ID4y67h"
"3 pokoje / dobra lokalizacja na Bemowie","3 300 zł","71 m²","""'8/11""","balkon | garaż/miejsce parkingowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/3-pokoje-dobra-lokalizacja-na-bemowie-ID4y5XO"
"Komfortowe mieszkanie 3 pok 75m2 przy GÓRCZEWSKIEJ - METRO całość 4500","3 500 zł","75 m²","""'3/6""","balkon | taras | tylko dla niepalących | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-3-pok-75m2-przy-gorczewskiej-metro-calosc-4500-ID4y5WY"
"Kawy, 3 pokoje","3 700 zł","103.76 m²","""'3/5""","garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/kawy-3-pokoje-ID4y4eK"
"Przestronne 3 pokojowe mieszkanie z dużym balkonem oraz klimatyzacja","4 499 zł","70 m²","""'5/6""","balkon | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-duzym-balkonem-oraz-klimatyzacja-ID4y3R2"
"Warszawa ul.Waldorffa- apartament, garaż, komórka","4 000 zł","77 m²","""'2/3""","taras | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/warszawa-ul-waldorffa-apartament-garaz-komorka-ID4y32w"
"Komfortowy 3-pokojowy apartament na Marymoncie","6 700 zł","73.96 m²","""'parter/2""","garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/komfortowy-3-pokojowy-apartament-na-marymoncie-ID4y2MX"
"Świeżo po remoncie , dwa balkony, garaż","5 200 zł","91 m²","""'3/7""","balkon | taras | garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia | tylko dla niepalących","https://www.otodom.pl/pl/oferta/swiezo-po-remoncie-dwa-balkony-garaz-ID4y1By"
"Bemowo, 3-pokoje z widokiem na park, Garaż","4 499 zł","70 m²","""'3/5""","balkon | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/bemowo-3-pokoje-z-widokiem-na-park-garaz-ID4xYFz"
"Apartament na Osiedlu Awangarda przy Fortach Bema","3 400 zł","75 m²","""'2/3""","taras | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/apartament-na-osiedlu-awangarda-przy-fortach-bema-ID4xYAQ"
"3-pokojowe mieszkanie z dużym tarasem | Bemowo","5 500 zł","70 m²","""'1/4""","ogródek | taras | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-duzym-tarasem-bemowo-ID4xYqh"
"Bemowo, 3 pokoje, garaż, balkon, umeblowane","4 400 zł","78 m²","""'3/3""","balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/bemowo-3-pokoje-garaz-balkon-umeblowane-ID4xYgj"
"Taras i balkon | Metro Bemowo | klimatyzacja","5 900 zł","89.5 m²","""'4/6""","taras | balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/taras-i-balkon-metro-bemowo-klimatyzacja-ID4xXNc"
"Kawy, 3 pokoje","3 700 zł","103.76 m²","""'3/5""","garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/kawy-3-pokoje-ID4xXwO"
"Nowy elegancki apartament na wynajem, 4 pok Narwik","8 700 zł","82.45 m²","""'6/7""","balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/nowy-elegancki-apartament-na-wynajem-4-pok-narwik-ID4xXgM"
"3 pokoje, 72 m², balkon + miejsce w garażu – Bielany","4 250 zł","72 m²","""'3/5""","balkon | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/3-pokoje-72-m-balkon-miejsce-w-garazu-bielany-ID4xXa8"
"Apartament z garażem, 2 ogródkami i 2 łazienkami - na pół roku","5 200 zł","71 m²","""'parter/4""","balkon | ogródek | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/apartament-z-garazem-2-ogrodkami-i-2-lazienkami-na-pol-roku-ID4xVeV"
"✅Sprawdź >>> Duże, klimatyczne mieszkanie✅","3 800 zł","103.76 m²","""'3/5""","balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/sprawdz-duze-klimatyczne-mieszkanie-ID4xWar"
"Bielany | Przestronne 3 pok. 78m | blisko metra ul Renesansowa","4 900 zł","78 m²","""'4/7""","balkon | taras | garaż/miejsce parkingowe | piwnica | tylko dla niepalących","https://www.otodom.pl/pl/oferta/bielany-przestronne-3-pok-78m-blisko-metra-ul-renesansowa-ID4xUuW"
"3 Pok 71m2 Garaż Balkon Komórka Bemowo Wynajem","4 200 zł","71 m²","""'2/3""","balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/3-pok-71m2-garaz-balkon-komorka-bemowo-wynajem-ID4xJrz"
"Przytulne 3 pokojowe mieszkanie z pięknym widokiem","5 300 zł","77 m²","""'10/10""","balkon | taras | garaż/miejsce parkingowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/przytulne-3-pokojowe-mieszkanie-z-pieknym-widokiem-ID4xHk6"
"Przestronne 3 pokojowe mieszkanie z dużym balkonem","4 999 zł","70 m²","""'5/8""","balkon | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-z-duzym-balkonem-ID4xGmP"
"2-poziomowe | m. parkingowe | 100 m. od tramwaju","4 999 zł","88 m²","""'1/4""","garaż/miejsce parkingowe | dwupoziomowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/2-poziomowe-m-parkingowe-100-m-od-tramwaju-ID4xAxQ"
"Wynajmę mieszkanie 3-pok. 103,76 Bemowo-Lotnisko","3 700 zł","103.76 m²","""'3/5""","garaż/miejsce parkingowe | pom. użytkowe | piwnica | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-3-pok-103-76-bemowo-lotnisko-ID4x3n1"
"Bielany | 90 m² | Garaż | Komórka lokatorska |","5 000 zł","90 m²","""'2""","","https://www.otodom.pl/pl/oferta/bielany-90-m-garaz-komorka-lokatorska-ID4vOGp"
"Stare Bielany, 3 pokoje 115 m² z ogrodem, 7900 zł","7 900 zł","115 m²","""'1/2""","balkon | ogródek | garaż/miejsce parkingowe | piwnica | tylko dla niepalących","https://www.otodom.pl/pl/oferta/stare-bielany-3-pokoje-115-m-z-ogrodem-7900-zl-ID4vGVo"
"Dwupiętrowe mieszkanie |Dobry standard|Zwierzęta +","5 990 zł","87 m²","""'2/3""","garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/dwupietrowe-mieszkanie-dobry-standard-zwierzeta-ID4wZUS"
"Wynajem dużego domu na Bemowo Super lokalizacja","16 000 zł","298 m²","""'parter/2""","balkon | ogródek | taras | garaż/miejsce parkingowe | piwnica | pom. użytkowe","https://www.otodom.pl/pl/oferta/wynajem-duzego-domu-na-bemowo-super-lokalizacja-ID4wo2z"
"Luksusowy Apartament W-Wa Bemowo 3 Pokoje","6 700 zł","83 m²","""'5/7""","balkon | taras | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/luksusowy-apartament-w-wa-bemowo-3-pokoje-ID4t39e"
"Mieszkanie dla studentów","5 600 zł","75 m²","""'8/10""","balkon | garaż/miejsce parkingowe | piwnica | tylko dla niepalących | oddzielna kuchnia | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/mieszkanie-dla-studentow-ID4spKj"
"Przestronne Mieszkanie na Bielanach","4 600 zł","76 m²","""'2/5""","balkon | ogródek | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-na-bielanach-ID4pp8a"
"Metro Bemowo - 4 pokoje","4 800 zł","73 m²","""'4/10""","balkon | piwnica | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/metro-bemowo-4-pokoje-ID4nK7f"
"Wygodny apartament na Bielanach,garaż,balkon.","4 900 zł","83.2 m²","""'1/3""","balkon | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/wygodny-apartament-na-bielanach-garaz-balkon-ID4mUnO"
"Wynajmę mieszkanie 73m","4 400 zł","73 m²","""'2/3""","balkon | garaż/miejsce parkingowe | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/wynajme-mieszkanie-73m-ID4mmPD"
"Elegancki apartament z tarasem 3 pok. Perzyńskiego","6 800 zł","83 m²","""'1/5""","balkon | taras | garaż/miejsce parkingowe | piwnica | tylko dla niepalących","https://www.otodom.pl/pl/oferta/elegancki-apartament-z-tarasem-3-pok-perzynskiego-ID4lEF9"
"Mieszkanie z garazem w cenie.","4 500 zł","73 m²","""'1/5""","balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/mieszkanie-z-garazem-w-cenie-ID4jSYS"
"3 pokoje z dużym tarasem, 2 łazienki, garderoba, garaż, tuż przy parku","4 650 zł","84 m²","""'parter/5""","ogródek | taras | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/3-pokoje-z-duzym-tarasem-2-lazienki-garderoba-garaz-tuz-przy-parku-ID4ibNK"
"Mieszkanie do wynajęcia - Bemowo - 70m2","5 000 zł","70 m²","""'1/3""","balkon | tylko dla niepalących","https://www.otodom.pl/pl/oferta/mieszkanie-do-wynajecia-bemowo-70m2-ID4hhQW"
"Sosnowiecka,71.4m2/3500,3pok,balkon,3/4po remoncie","3 500 zł","71.4 m²","""'3/4""","balkon","https://www.otodom.pl/pl/oferta/sosnowiecka-71-4m2-3500-3pok-balkon-3-4po-remoncie-ID4gRI5"
"Komfortowe 3 pokoje (76 m²) z klimatyzacją. Bemowo, 700m do metra!","4 800 zł","76 m²","""'4/7""","balkon | garaż/miejsce parkingowe | tylko dla niepalących | oddzielna kuchnia | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/komfortowe-3-pokoje-76-m-z-klimatyzacja-bemowo-700m-do-metra-ID4gNga"
"Mieszkanie, 89 m², Warszawa","7 500 zł","89 m²","""'6/6""","balkon | taras | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/mieszkanie-89-m-warszawa-ID4d4Xf"
"Warszawa-Bielany-4 oddzielne pokoje-73m2-piwnica","2 700 zł","73 m²","""'5/6""","balkon | piwnica | pom. użytkowe","https://www.otodom.pl/pl/oferta/warszawa-bielany-4-oddzielne-pokoje-73m2-piwnica-ID3IWRS"
"Wynajmę, dupoziomowe w sercu zielonego Żoliborza","4 270 zł","87.5 m²","""'10/11""","balkon | dwupoziomowe | oddzielna kuchnia","https://www.otodom.pl/hpr/pl/oferta/wynajme-dupoziomowe-w-sercu-zielonego-zoliborza-ID4ykW8"
"4 pokoje | Kępa Potocka | zieleń","5 270 zł","87.8 m²","""'6/11""","balkon | pom. użytkowe | dwupoziomowe | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/4-pokoje-kepa-potocka-zielen-ID4ykPN"
"Nowe 4-pokojowe | 95 m2 | Warszawa-Włochy | bezpośrednio","7 000 zł","93 m²","""'2/2""","garaż/miejsce parkingowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/nowe-4-pokojowe-95-m2-warszawa-wlochy-bezposrednio-ID4ykPs"
"Super / 101,20M2 / 4 Pok / Garaż / Piwnica","4 600 zł","101.2 m²","""'3/4""","balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/super-101-20m2-4-pok-garaz-piwnica-ID4yiFb"
"Kawalerka mieszkanie 75mkw bardzo duża powierzchnia tanio W-wa Włochy","2 600 zł","75 m²","""'parter/1""","garaż/miejsce parkingowe | pom. użytkowe | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/kawalerka-mieszkanie-75mkw-bardzo-duza-powierzchnia-tanio-w-wa-wlochy-ID4yflR"
"Wynajmę komfortowe mieszkanie","6 500 zł","132 m²","""'1""","balkon | oddzielna kuchnia | tylko dla niepalących | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/wynajme-komfortowe-mieszkanie-ID4yeCI"
"Przestronne mieszkanie z balkonem i miejscem parkingowym-Dąbrowa Leśna","5 500 zł","96 m²","""'1/1""","balkon | garaż/miejsce parkingowe | dwupoziomowe","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-z-balkonem-i-miejscem-parkingowym-dabrowa-lesna-ID4ybNz"
"⭐⭐Nowe Włochy,ul.Chrośckiego,3Pokoje,2Balkony,Garaż⭐⭐","4 400 zł","73 m²","""'2/3""","balkon | garaż/miejsce parkingowe | Wynajmę również studentom","https://www.otodom.pl/pl/oferta/nowe-wlochy-ul-chrosckiego-3pokoje-2balkony-garaz-ID4y9Hm"
"3 pokoje Żoliborz ul. Mickiewicza 66","3 000 zł","72 m²","""'7/11""","garaż/miejsce parkingowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/3-pokoje-zoliborz-ul-mickiewicza-66-ID4y7x3"
"Przestronne, kameralne mieszkanie w cichej okolicy","6 500 zł","140 m²","""'1/2""","oddzielna kuchnia","https://www.otodom.pl/pl/oferta/przestronne-kameralne-mieszkanie-w-cichej-okolicy-ID4y7fk"
"Piękne i eleganckie 4 pokoje, 2 balkony, 2 garaże","6 000 zł","84 m²","""'6/6""","balkon | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/piekne-i-eleganckie-4-pokoje-2-balkony-2-garaze-ID4y7fd"
"Przy metrze, 4 pokoje, 2 łazienki, balkon","5 500 zł","102 m²","""'7/10""","garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/przy-metrze-4-pokoje-2-lazienki-balkon-ID4y4O2"
"Duże rozkładowe 4 pokojowe nowe budownictwa Gwiaździsta","5 500 zł","78 m²","""'3/14""","balkon | garaż/miejsce parkingowe | pom. użytkowe","https://www.otodom.pl/pl/oferta/duze-rozkladowe-4-pokojowe-nowe-budownictwa-gwiazdzista-ID4xZIH"
"4-pokojowe mieszkanie | Włochy | 2 garaże","6 500 zł","84 m²","""'6/6""","balkon | garaż/miejsce parkingowe | piwnica","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-wlochy-2-garaze-ID4xZe8"
"3-POKOJOWE, PRZYTULNE MIESZKANIE Z TARASEM, PRZY KASZTANOWEJ ALEI","5 000 zł","77 m²","""'1/3""","balkon | taras | garaż/miejsce parkingowe | tylko dla niepalących","https://www.otodom.pl/pl/oferta/3-pokojowe-przytulne-mieszkanie-z-tarasem-przy-kasztanowej-alei-ID4xVal"
"4 pokoje | ul. Obywatelska, Włochy, Warszawa","6 900 zł","84 m²","""'6/6""","","https://www.otodom.pl/pl/oferta/4-pokoje-ul-obywatelska-wlochy-warszawa-ID4xTe8"
"Komfortowe 4 pokojowe mieszkanie • 84 m² • 2 garaże • 2 balkony winda","6 900 zł","84 m²","""'6/6""","balkon | garaż/miejsce parkingowe | pom. użytkowe | piwnica","https://www.otodom.pl/pl/oferta/komfortowe-4-pokojowe-mieszkanie-84-m-2-garaze-2-balkony-winda-ID4xOmb"
"4 pokoje dla rodziny – Chrościckiego","5 450 zł","102 m²","""'3/3""","dwupoziomowe","https://www.otodom.pl/pl/oferta/4-pokoje-dla-rodziny-chroscickiego-ID4xGBd"
"Mieszkanie na wynajem","6 000 zł","87 m²","""'1/2""","taras | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/mieszkanie-na-wynajem-ID4xDmQ"
"Budynek 14 pokoi, 4 piętra, 12 miejsc parkingowych","20 000 zł","360 m²","""'4/4""","balkon | ogródek | taras | garaż/miejsce parkingowe","https://www.otodom.pl/pl/oferta/budynek-14-pokoi-4-pietra-12-miejsc-parkingowych-ID4xb56"
"Elegancki apartament 113m2, Żoliborz, Kępa Potocka","10 000 zł","113 m²","""'8/14""","balkon | garaż/miejsce parkingowe | oddzielna kuchnia","https://www.otodom.pl/pl/oferta/elegancki-apartament-113m2-zoliborz-kepa-potocka-ID4veT8"